dataset,DecisionTree,Bagging,RandomForest,AdaBoost
c300_d100,0.685,0.855,0.825,0.775
c300_d1000,0.6725,0.8885,0.8875,0.9335
c300_d5000,0.7821,0.9185,0.9249,0.9813
c500_d100,0.68,0.86,0.87,0.885
c500_d1000,0.682,0.8765,0.9195,0.9735
c500_d5000,0.7881,0.9408,0.9471,0.9914
c1000_d100,0.725,0.87,0.975,0.975
c1000_d1000,0.797,0.9475,0.9875,0.991
c1000_d5000,0.8609,0.9611,0.9961,0.9991
c1500_d100,0.88,0.985,1.0,1.0
c1500_d1000,0.927,0.9825,0.9995,1.0
c1500_d5000,0.9565,0.9897,1.0,1.0
c1800_d100,0.94,0.96,1.0,0.995
c1800_d1000,0.9755,0.9925,1.0,0.9995
c1800_d5000,0.9875,0.9964,0.9999,1.0
