dataset,DecisionTree,Bagging,RandomForest,AdaBoost
c300_d100,0.68499212480312,0.8545600441335038,0.8242574878863196,0.7745434504872367
c300_d1000,0.6670881009409209,0.8884531224246989,0.8874614836927938,0.9334926675665993
c300_d5000,0.7817832343608305,0.918229646769632,0.9247704358831997,0.9812995136003488
c500_d100,0.6798719487795117,0.85998599859986,0.8699869986998701,0.8847666524712543
c500_d1000,0.6819185711542154,0.8764984871064672,0.9194983698419893,0.9734976081591363
c500_d5000,0.7876045046729064,0.9407925730203597,0.9470990218609142,0.9913998623977983
c1000_d100,0.7249931248281207,0.8699479791916767,0.9749993749843746,0.9749993749843746
c1000_d1000,0.796706444105288,0.9474930559566503,0.9874999718749367,0.9909998559976959
c1000_d5000,0.8607284160158156,0.9610997942179114,0.9960999996489998,0.999099999991
c1500_d100,0.87998799879988,0.9849996249906248,1.0,1.0
c1500_d1000,0.9269876609146946,0.982499995624999,0.9994999998749999,1.0
c1500_d5000,0.9564999021247796,0.9896999949529974,1.0,1.0
c1800_d100,0.9399939993999399,0.9599959995999601,1.0,0.9949998749968749
c1800_d1000,0.975497298577168,0.9924999981249996,1.0,0.9994999998749999
c1800_d5000,0.9874999218745117,0.9964,0.9998999999989999,1.0
